diet_cluster,FAT (g),PROT (g),Calories (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Protein_per_kcal,Fat_to_Protein,Cal_to_Protein,Sodium_to_Potassium,Micronutrient_Density
0,13.66,19.07,266.56,0.32,0.31,0.37,3.11,1.35,2.35,2.75,397.91,53.64,2.83,64.73,263.54,433.24,251.21,2.78,0.1,1.57,24.23,0.95,6.33
1,4.03,3.74,125.62,0.06,0.08,0.08,0.12,0.12,0.85,9.86,82.39,48.28,0.76,18.99,68.25,197.52,135.77,0.45,0.04,0.93,32.61,1.84,8.4
2,21.27,24.51,318.63,0.06,0.31,0.11,1.71,0.74,0.99,0.81,201.0,710.09,1.05,49.51,552.17,217.39,1237.43,3.23,0.08,0.96,20.98,15.6,5.94
3,82.27,0.17,742.3,0.04,0.03,0.03,0.07,3.31,19.84,0.07,413.96,7.78,0.08,1.33,14.11,22.03,114.92,0.06,0.0,73.2,660.05,11.45,0.89
