Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Sweet pepper stuffed w minced meat,per 100g,"10,4","5,8",145,"0,1","0,07","0,228","0,31","0,1","2,5",65.0,81.0,10.0,"0,6",13.0,63.0,214.0,97.0,"0,97",Drop
Ice cream chocolate,per 100g,"10,4","3,5",226,"0,02","0,18","0,026","0,4","0,1","0,4",0.0,100.0,87.0,"1,7",30.0,95.0,256.0,39.0,"0,59",Dairy
Shashlik skewer pork w vegetables prepared,per 100g,"1,8","12,8",75,"0,48","0,12","0,351","0,28","0,2","0,8",15.0,37.0,7.0,"0,7",20.0,145.0,331.0,31.0,"1,43",Drop
Fish cuisine pollock w breadcrumbs and herbs prepared,per 100g,"12,2","16,5",220,"0,1","0,11","0,047","2,07",0,"4,1",0.0,1.0,16.0,"0,4",28.0,124.0,242.0,382.0,"0,47",Meat
Ice cream dairy vanilla flavoured,per 100g,12,3,220,"0,02","0,23","0,036","0,41",0,"0,6",0.0,218.0,97.0,"0,1",11.0,85.0,172.0,46.0,"0,3",Dairy
Ice cream dairy w vegetal fat vanilla flavoured,per 100g,"10,7","2,9",212,"0,02","0,23","0,037","0,41",0,"0,5",0.0,106.0,91.0,0,11.0,72.0,158.0,52.0,"0,22",Dairy
Ice cream dairy w fruit,per 100g,"8,1","2,7",194,"0,02","0,19","0,034","0,41",0,"0,4",3.0,117.0,90.0,"0,1",12.0,73.0,168.0,40.0,"0,24",Dairy
Ice cream dairy/non-dairy cornet w fruit,per 100g,"10,3","3,1",269,"0,03","0,12","0,023","0,3","0,1","0,6",1.0,45.0,60.0,"0,6",23.0,64.0,158.0,63.0,"0,28",Dairy
Bakery mix for pancakes wholemeal,per 100g,"5,1",13,352,"0,51","0,08","0,204",0,0,"1,4",0.0,0.0,53.0,"3,9",120.0,363.0,275.0,552.0,"2,9",Bread
"Roll white hard w cheese, ham, egg and vegetables",per 100g,7,"11,7",217,"0,13","0,13","0,062","0,53","0,3","0,8",4.0,86.0,155.0,"0,9",21.0,207.0,176.0,397.0,"1,29",Drop
Mousse chocolate ready-made,per 100g,"7,5","5,3",189,"0,01","0,16","0,032","0,13",0,"0,3",0.0,32.0,120.0,"3,1",38.0,121.0,334.0,49.0,"0,79",Dairy
Toasted ham-cheese sandwich w white bread,per 100g,"9,7","12,7",252,"0,17","0,1","0,046","0,43","0,5","0,9",5.0,107.0,159.0,"0,6",21.0,202.0,178.0,534.0,"1,28",Drop
Hamburger (with roll) vegetables and sauce homemade,per 100g,"12,6","10,8",213,"0,07","0,09","0,101","0,71","0,3",2,6.0,36.0,22.0,"1,2",17.0,103.0,241.0,476.0,"2,09",Drop
Sausage Dutch Frikandel w sauce and onion,per 100g,"16,5","10,2",230,"0,1","0,1","0,077","0,39","0,3","1,6",2.0,31.0,83.0,"1,6",24.0,159.0,187.0,837.0,"1,13",Drop
Greek salad wo dressing,per 100g,"5,6","4,7",81,"0,03","0,08","0,091","0,4",0,"0,7",18.0,112.0,52.0,"0,6",9.0,105.0,213.0,365.0,"0,85",Drop
Risotto prepared,per 100g,"7,6","5,8",196,"0,02","0,06","0,033","0,15",0,"0,3",0.0,17.0,92.0,"0,2",12.0,110.0,48.0,280.0,"0,9",Drop
Sushi stuffed w salmon and cucumber,per 100g,"1,8","5,5",133,"0,04","0,06","0,098","0,49","1,1","0,3",2.0,70.0,18.0,1,21.0,73.0,140.0,49.0,"0,72",Drop
Wrap w chicken,per 100g,"5,1","13,5",171,"0,06","0,04","0,352","0,09","0,1","1,8",10.0,29.0,19.0,"0,6",22.0,131.0,249.0,356.0,"0,51",Drop
Jerusalem artichoke raw,per 100g,"0,5",2,75,"0,1","0,1","0,09",0,0,"0,2",2.0,30.0,38.0,"1,4",10.0,70.0,639.0,5.0,"0,24",Bread
